"Campaign name","Ad set name","Ad name",Age,Gender,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Own a Chicken Store Today",25-34,male,"On-Facebook leads",7,1.90605854,0.23825731790334,370.32,52.902857142857,1.4966887417219,126.04492852,2938,56,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",25-34,male,"On-Facebook leads",4,1.29776496,0.14419610670512,305.02,76.255,1.5436839176405,109.95674117,2774,36,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-60+ Franchise Stores across Maharashtra",35-44,male,"On-Facebook leads",2,1.16550117,0.077700077700078,323.8,161.9,1.6923076923077,125.7964258,2574,30,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",18-24,male,"On-Facebook leads",8,1.95042666,0.32507110930516,207.81,25.97625,1.7306610407876,84.44128403,2461,48,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",18-24,male,"On-Facebook leads",4,1.2908778,0.17211703958692,192.63,48.1575,1.7356235997013,82.88726334,2324,30,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",45-54,male,"On-Facebook leads",3,1.97976243,0.13198416190057,298.32977671473,99.443258904911,2.0588768115942,131.24935183,2273,45,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Video-No. 1 Franchise Opportunity",25-34,male,"On-Facebook leads",5,1.47689376,0.23820867079562,307.19,61.438,1.778813559322,146.35064316,2099,31,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",45-54,male,"On-Facebook leads",2,2.0782987,0.096665055582407,251.37,125.685,3.0072674418605,121.49347511,2069,43,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",18-24,male,"On-Facebook leads",3,1.66340509,0.146771037182,168.99,56.33,1.8752293577982,82.67612524,2044,34,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",35-44,male,"On-Facebook leads",1,2.46602919,0.050327126321087,210.97,210.97,1.8570093457944,106.1751384,1987,49,2019-11-01,2019-12-03
