Campaign name,Ad set name,Age,Gender,Results,CTR (all),Result rate,Amount spent (INR),Cost per result,Frequency,"CPM (cost per 1,000 impressions)",Impressions,Clicks (all),Ad Format,Ad Headline
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,4.10958904,0.0,17.75,,1 to 2,243.15068493,73,3,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,35-44,female,0.0,2.73972603,0.0,11.66,,1 to 2,159.7260274,73,2,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,8.69565217,0.0,10.12,,1 to 2,146.66666667,69,6,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,female,0.0,1.47058824,0.0,4.58,,1 to 2,67.35294118,68,1,Video,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,male,0.0,4.47761194,0.0,11.14,,1 to 2,166.26865672,67,3,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,25-34,female,0.0,4.54545455,0.0,13.71,,1 to 2,207.72727273,66,3,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,1.51515152,0.0,7.5,,1 to 2,113.63636364,66,1,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,45-54,female,0.0,3.07692308,0.0,11.1,,1 to 2,170.76923077,65,2,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,45-54,female,0.0,4.61538462,0.0,24.21,,1 to 2,372.46153846,65,3,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,35-44,female,0.0,0.0,0.0,9.56,,1 to 2,149.375,64,0,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,25-34,female,0.0,0.0,0.0,20.14,,1 to 2,319.68253968,63,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,female,0.0,1.58730159,0.0,8.21,,1 to 2,130.31746032,63,1,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,45-54,female,0.0,1.66666667,0.0,11.05,,1 to 2,184.16666667,60,1,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,female,0.0,1.66666667,0.0,8.14,,4 to 5,135.66666667,60,1,Video,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,female,1.0,5.26315789,1.7543859649123001,5.51,5.51,1 to 2,96.66666667,57,3,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,3.63636364,0.0,7.72,,1 to 2,140.36363636,55,2,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,65+,male,0.0,0.0,0.0,3.36,,2 to 3,63.39622642,53,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,65+,male,0.0,0.0,0.0,3.02,,2 to 3,58.07692308,52,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,female,0.0,0.0,0.0,6.21,,1 to 2,121.76470588,51,0,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,male,0.0,0.0,0.0,5.96,,1 to 2,116.86274509999998,51,0,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,6.12244898,0.0,13.98,,1 to 2,285.30612245,49,3,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,0.0,0.0,0.0,2.8,,1 to 2,58.33333333,48,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,female,1.0,8.5106383,2.1276595744681,8.53,8.53,1 to 2,181.4893617,47,4,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,25-34,female,0.0,0.0,0.0,11.11,,1 to 2,241.52173913,46,0,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,25-34,female,0.0,2.17391304,0.0,6.37,,1 to 2,138.47826087,46,1,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,female,0.0,0.0,0.0,5.19,,1 to 2,117.95454545,44,0,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,65+,male,0.0,0.0,0.0,5.72,,4 to 5,133.02325581,43,0,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,0.0,0.0,9.6,,1 to 2,228.57142857,42,0,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,65+,male,0.0,2.56410256,0.0,6.62,,4 to 5,169.74358974,39,1,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,male,0.0,0.0,0.0,5.78,,1 to 2,156.21621622,37,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,65+,male,0.0,2.77777778,0.0,6.85,,1 to 2,190.27777778,36,1,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,0.0,0.0,5.8,,1 to 2,161.11111111,36,0,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,2.85714286,0.0,9.84,,1 to 2,281.14285714,35,1,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,female,0.0,0.0,0.0,11.97,,1 to 2,362.72727273,33,0,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,45-54,female,0.0,0.0,0.0,6.61,,1 to 2,206.5625,32,0,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,3.125,0.0,6.07,,1 to 2,189.6875,32,1,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,55-64,male,0.0,0.0,0.0,3.78,,1 to 2,121.93548387,31,0,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,13.33333333,0.0,11.93,,1 to 2,397.66666667,30,4,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,35-44,female,0.0,0.0,0.0,4.09,,1 to 2,141.03448276,29,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,65+,male,1.0,10.34482759,3.448275862069,4.09,4.09,1 to 2,141.03448276,29,3,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,3.44827586,0.0,4.84,,1 to 2,166.89655172,29,1,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,45-54,female,0.0,0.0,0.0,4.81,,1 to 2,165.86206897,29,0,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,female,0.0,0.0,0.0,5.52,,1 to 2,204.44444444,27,0,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,25-34,female,0.0,0.0,0.0,6.47,,1 to 2,239.62962963,27,0,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,male,0.0,3.7037037000000006,0.0,2.73,,1 to 2,101.11111111,27,1,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,0.0,0.0,5.87,,1 to 2,217.40740741,27,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,55-64,male,0.0,0.0,0.0,4.3,,1 to 2,159.25925926,27,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,female,0.0,0.0,0.0,2.31,,1 to 2,85.55555556,27,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,18-24,female,0.0,0.0,0.0,1.52,,1 to 2,60.8,25,0,Image,Minimum Investment & Maximum Profit
