"Campaign name","Ad set name","Ad name",Platform,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",instagram,"On-Facebook leads",1,1.12570356,0.18761726078799,55.58,55.58,1.195067264574,104.27767355,533,6,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",instagram,,,0.20080321,,55.27,,1.1241534988713,110.98393574,498,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-Minimum Investment & Maximum Profit",facebook,"On-Facebook leads",2,2.39651416,0.43572984749455,79.97,39.985,1.5,174.22657952,459,11,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity",instagram,,,0.26385224,,33.04,,1.2804054054054,87.176781,379,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-60+ Franchise Stores across Maharashtra",instagram,"On-Facebook leads",1,1.66666667,0.27777777777778,52.55,52.55,1.2676056338028,145.97222222,360,6,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-60+ Franchise Stores across Maharashtra",facebook,"On-Facebook leads",2,3.71621622,0.67567567567568,59,29.5,1.3962264150943,199.32432432,296,11,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity",instagram,,,0.34722222,,16.08,,1.3090909090909,55.83333333,288,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",facebook,,,1.43369176,,46.5,,1.0072202166065,166.66666667,279,4,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Partner with us today!",instagram,,,0,,26.56,,1.1503267973856,150.90909091,176,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Video-No. 1 Franchise Opportunity",instagram,,,0.60606061,,18.49,,1.2890625,112.06060606,165,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Video-No. 1 Franchise Opportunity",facebook,,,0,,30.64,,1.2566371681416,215.77464789,142,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity",facebook,,,2.23880597,,21.98,,1.34,164.02985075,134,3,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",facebook,,,1.31578947,,6.09,,1.0133333333333,80.13157895,76,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-Minimum Investment & Maximum Profit",instagram,,,0,,2.82,,1.1333333333333,82.94117647,34,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Video-No. 1 Franchise Opportunity",instagram,,,0,,2.77,,1.1818181818182,106.53846154,26,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-60+ Franchise Stores across Maharashtra",instagram,,,0,,1.76,,1.0952380952381,76.52173913,23,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",instagram,,,0,,1.62,,1,101.25,16,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",instagram,,,0,,1.22,,1,87.14285714,14,0,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity",instagram,,,0,,0.86,,1.0769230769231,61.42857143,14,0,2019-11-01,2019-12-03
